Date,Balance,trend,residual,quantile_10,fitted_growth
2021-02-10,18236.17615891309,16687.189642089586,1548.9865168235046,14917.150392161639,16419.261016740224
2021-02-11,18212.20643237853,16691.21426033982,1520.9921720387101,14920.48967551095,16423.276584367934
2021-02-12,18130.075408105207,16695.238878590055,1434.8365295151525,14923.82895886026,16427.293134060757
2021-02-13,18044.514053895808,16699.263496840293,1345.250557055515,14927.16824220957,16431.310666058864
2021-02-14,17954.697761411808,16703.288115090527,1251.409646321281,14930.507525558882,16435.329180602497
2021-02-15,17980.897099773352,16707.31273334076,1273.5843664325912,14933.84680890819,16439.348677931954
2021-02-16,17904.85145336165,16711.337351591,1193.514101770652,14937.186092257503,16443.369158287587
2021-02-17,17871.185184619946,16715.361969841233,1155.823214778713,14940.525375606812,16447.390621909806
2021-02-18,17819.957296623495,16719.386588091467,1100.5707085320282,14943.864658956123,16451.413069039085
2021-02-19,17835.29579053774,16723.411206341705,1111.8845841960356,14947.203942305434,16455.436499915955
2021-02-20,17725.7461605559,16727.43582459194,998.3103359639608,14950.543225654745,16459.460914781008
2021-02-21,17623.30592814613,16731.460442842174,891.8454853039548,14953.882509004055,16463.486313874884
2021-02-22,17682.53973329888,16735.48506109241,947.0546722064682,14957.221792353364,16467.512697438306
2021-02-23,17737.259542872496,16739.509679342646,997.7498635298507,14960.561075702677,16471.540065712026
2021-02-24,17793.225942469973,16743.53429759288,1049.6916448770935,14963.900359051986,16475.568418936873
2021-02-25,18053.176623975512,16747.558915843114,1305.6177081323985,14967.239642401297,16479.59775735374
2021-02-26,18385.659241990183,16751.583534093348,1634.0757078968345,14970.578925750608,16483.628081203555
2021-02-27,18256.01555016821,16755.608152343586,1500.4073978246233,14973.918209099918,16487.659390727327
2021-02-28,18230.332559640723,16759.63277059382,1470.6997890469029,14977.25749244923,16491.691686166123
2021-03-01,18171.96959700138,16763.657388844054,1408.3122081573274,14980.596775798538,16495.724967761053
2021-03-02,18230.69579160432,16767.682007094292,1463.013784510029,14983.93605914785,16499.7592357533
2021-03-03,18284.672500238117,16771.706625344526,1512.9658748935908,14987.27534249716,16503.794490384098
2021-03-04,18344.509559201782,16775.73124359476,1568.7783156070218,14990.61462584647,16507.83073189475
2021-03-05,18490.034668725297,16779.755861845,1710.2788068802984,14993.953909195781,16511.86796052661
2021-03-06,18324.27770256514,16783.780480095233,1540.4972224699086,14997.293192545092,16515.90617652109
2021-03-07,18185.784802611823,16787.805098345467,1397.9797042663558,15000.632475894403,16519.945380119665
2021-03-08,18302.14448207946,16791.829716595705,1510.3147654837558,15003.971759243712,16523.98557156387
2021-03-09,18308.30322693579,16795.85433484594,1512.4488920898511,15007.311042593024,16528.026751095294
2021-03-10,18263.26980257212,16799.878953096173,1463.3908494759453,15010.650325942333,16532.06891895559
2021-03-11,18259.39394523035,16803.90357134641,1455.4903738839384,15013.989609291646,16536.112075386463
2021-03-12,18387.98968282416,16807.928189596645,1580.0614932275166,15017.328892640955,16540.15622062969
2021-03-13,18248.9788733169,16811.95280784688,1437.0260654700214,15020.668175990266,16544.201354927096
2021-03-14,18119.25421606158,16815.977426097117,1303.2767899644641,15024.007459339577,16548.247478520567
2021-03-15,18158.196641298207,16820.00204434735,1338.194596950856,15027.346742688887,16552.29459165205
2021-03-16,18102.39967702741,16824.026662597586,1278.3730144298243,15030.686026038198,16556.34269456355
2021-03-17,18068.391453731325,16828.05128084782,1240.3401728835051,15034.025309387507,16560.391787497138
2021-03-18,18368.58227375902,16832.075899098054,1536.5063746609667,15037.36459273682,16564.441870694933
2021-03-19,18403.257725516152,16836.10051734829,1567.1572081678605,15040.703876086129,16568.49294439912
2021-03-20,18278.40447049225,16840.125135598526,1438.279334893723,15044.04315943544,16572.54500885194
2021-03-21,18157.432135902854,16844.14975384876,1313.2823820540943,15047.38244278475,16576.598064295697
2021-03-22,18244.358053509877,16848.174372098998,1396.1836814108792,15050.721726134061,16580.652110972747
2021-03-23,18218.936788200303,16852.198990349232,1366.7377978510704,15054.061009483372,16584.707149125516
2021-03-24,18222.683701362253,16856.223608599466,1366.460092762787,15057.40029283268,16588.763178996483
2021-03-25,18478.360248309586,16860.248226849704,1618.1120214598814,15060.739576181993,16592.820200828188
2021-03-26,18706.769835540428,16864.27284509994,1842.4969904404898,15064.078859531302,16596.878214863227
2021-03-27,18570.19875472506,16868.297463350173,1701.9012913748884,15067.418142880613,16600.93722134426
2021-03-28,18462.32008777289,16872.32208160041,1589.9980061724782,15070.757426229924,16604.997220513997
2021-03-29,18529.74665289189,16876.346699850645,1653.3999530412439,15074.096709579235,16609.058212615222
2021-03-30,18624.98502531656,16880.37131810088,1744.6137072156816,15077.435992928546,16613.12019789077
2021-03-31,18747.92086905683,16884.395936351117,1863.5249327057136,15080.775276277855,16617.18317658353
2021-04-01,18690.90356443195,16888.42055460135,1802.4830098305974,15084.114559627167,16621.24714893647
2021-04-02,18678.059613523103,16892.445172851585,1785.6144406715175,15087.453842976476,16625.312115192588
2021-04-03,18533.214549059776,16896.469791101823,1636.744757957953,15090.793126325787,16629.378075594967
2021-04-04,18391.660085722928,16900.494409352057,1491.1656763708706,15094.132409675098,16633.445030386738
2021-04-05,18505.30595513548,16904.51902760229,1600.7869275331905,15097.471693024409,16637.512979811087
2021-04-06,18534.85852709455,16908.543645852526,1626.3148812420259,15100.81097637372,16641.581924111277
2021-04-07,18578.17040202664,16912.56826410276,1665.602137923881,15104.150259723028,16645.65186353061
2021-04-08,18594.309870635872,16916.592882352998,1677.7169882828748,15107.48954307234,16649.72279831246
2021-04-09,18579.92476865105,16920.61750060323,1659.307268047818,15110.82882642165,16653.794728700264
2021-04-10,18435.573654408345,16924.642118853466,1510.9315355548788,15114.168109770962,16657.867654937498
2021-04-11,18305.766353342784,16928.666737103704,1377.0996162390802,15117.507393120271,16661.941577267724
2021-04-12,18346.261958923547,16932.691355353938,1413.5706035696094,15120.846676469582,16666.016495934542
2021-04-13,18380.7319350435,16936.715973604172,1444.015961439327,15124.185959818893,16670.092411181628
2021-04-14,18366.60630486668,16940.74059185441,1425.8657130122701,15127.525243168204,16674.169323252703
2021-04-15,18341.670287935853,16944.765210104644,1396.9050778312085,15130.864526517515,16678.24723239156
2021-04-16,18322.675448323374,16948.78982835488,1373.885619968496,15134.203809866824,16682.326138842043
2021-04-17,18200.611158793392,16952.814446605116,1247.7967121882757,15137.543093216136,16686.406042848066
2021-04-18,18090.358205718785,16956.83906485535,1133.5191408634346,15140.882376565445,16690.48694465358
2021-04-19,18280.269811781647,16960.863683105585,1319.4061286760625,15144.221659914756,16694.56884450263
2021-04-20,18244.84590621947,16964.888301355822,1279.9576048636482,15147.560943264067,16698.65174263929
2021-04-21,18229.89585767993,16968.912919606057,1260.9829380738738,15150.900226613378,16702.735639307713
2021-04-22,18617.24830696709,16972.93753785629,1644.310769110798,15154.239509962688,16706.820534752096
2021-04-23,18772.630204657125,16976.962156106525,1795.6680485506004,15157.578793311997,16710.90642921671
2021-04-24,18627.303717571627,16980.986774356763,1646.3169432148643,15160.91807666131,16714.993322945877
2021-04-25,18525.83304700089,16985.011392606997,1540.8216543938943,15164.257360010619,16719.081216183986
2021-04-26,18640.02520318811,16989.03601085723,1650.9891923308787,15167.59664335993,16723.170109175473
2021-04-27,18752.213705783444,16993.060629107466,1759.1530766759788,15170.93592670924,16727.26000216485
2021-04-28,18893.37187263912,16997.085247357703,1896.2866252814165,15174.275210058551,16731.35089539668
2021-04-29,18737.547592949093,17001.109865607938,1736.4377273411556,15177.614493407862,16735.442789115583
