path,balance_y1,rate_y1,rate_shift,core_ratio,eve_path,nii_path,dEVE_path,dNII_path,worst_dEVE,worst_dNII
275,26545.818497498178,0.038693549072255994,0.001193549072255995,0.8847243575079196,26397.673842630942,1035.9589071585658,7844.367486821011,330.49241872644893,7770.891249463108,-200.42395122351468
276,22891.339751220476,0.03565075882388137,-0.001849241176118628,0.825605299898542,22781.107265772986,823.1806975990091,4227.800909963054,117.71420916689226,4168.365508671639,-340.1125858575171
277,14038.531036058715,0.041280992769084625,0.0037809927690846262,0.870949826359741,13956.378006024377,584.1094791245457,-4596.928349785554,-121.35700930757116,-4635.067321199147,-402.12763002874544
278,14344.031089659913,0.04821137794772406,0.01071137794772406,0.8342400193617607,14250.509224054184,696.03280274123,-4302.797131755748,-9.433685690886932,-4339.831317831045,-296.31430748408525
279,21381.36809017474,0.036427796232387344,-0.0010722037676126547,0.7997949212621808,21279.445058795438,785.2887600088109,2726.138702985507,79.82227157669399,2672.377253515853,-347.80509022680076
280,24073.901985365042,0.04588792897812435,0.008387928978124348,0.8919925226217513,23914.11052844637,1112.753998953934,5360.804172636439,407.287510521817,5294.238729195149,-74.19052918548425
281,18752.281036982225,0.03456973995627978,-0.002930260043720219,0.8642316188940806,18660.62886447239,654.3387273999746,107.32250866245886,-51.1277610321423,56.33200658741771,-426.17338177178675
282,16989.334831391152,0.0331816662931537,-0.004318333706846297,0.8964269269751455,16906.633543799,569.445463112029,-1646.6728120109328,-136.02102532008792,-1694.6418416931592,-475.80772194791086
283,21745.09026961675,0.029475151837622848,-0.008024848162377151,0.765182739883882,21664.343260951297,647.1793276773817,3111.0369051413654,-58.28716075473517,3058.2133626419018,-493.1889661470702
284,14855.389772641152,0.05008158203821487,0.01258158203821487,0.9075295318103174,14746.253494073813,749.0369615787607,-3807.052861736118,43.57047314664385,-3848.6118988997096,-253.53732230617925
285,21696.88630993501,0.028593360037102614,-0.008906639962897384,0.8606830040160924,21609.120893797648,627.3895472758036,3055.814537987717,-78.0769411563133,2996.606106273466,-512.0146673550136
286,14726.354480944845,0.05559557465330688,0.018095574653306884,0.9120750361384881,14606.116375004387,823.756868520592,-3947.189980805544,118.2903800884751,-3988.3070078984456,-176.23670953042165
287,21504.613687532168,0.04844932444578846,0.010949324445788458,0.8534689764179497,21360.553718827243,1048.7664405781225,2807.2473630173117,343.2999521460056,2750.4884127216355,-86.79232160463778
288,20438.185199409687,0.04160250763755154,0.004102507637551545,0.8625652085592203,20318.815992117037,856.8906012118867,1765.5096363071061,151.42411277976987,1710.5310653020097,-257.3395912084238
289,18134.670630534336,0.03172505947188091,-0.005774940528119089,0.8709018805736056,18052.5362256055,581.2459573728333,-500.77013020442973,-124.22053105928353,-550.6344304533668,-486.9139436699703
290,22385.790029621792,0.02450149699220464,-0.01299850300779536,0.7598912596338159,22316.87450157199,554.8642790079065,3763.5681457620594,-150.6022094242104,3709.2117358351243,-598.3179971758968
291,17032.502809268753,0.041064964783211436,0.003564964783211437,0.8617724456130381,16934.36054168947,704.9433229373294,-1618.9458141204595,-0.5231654947874631,-1664.7528537454928,-341.1732216801626
292,21274.936527354374,0.033349764672905645,-0.004150235327094354,0.9693344029749045,21162.55338151843,717.2474225668341,2609.2470257085006,11.7809341347172,2544.3969175830935,-413.7177964123704
