Date,Balance,days_since_start,fitted_decay,kalman_core,quantile_10,volatility_core_95,hp_trend
2022-10-12,19071.730711906963,2111,18999.469424457857,19175.428632084833,16950.773951891762,18868.74458192569,19111.138100697164
2022-10-13,19016.30409324387,2112,19002.241607769818,19160.291922743676,16954.11323524107,18855.455859364007,19105.048502116406
2022-10-14,19020.12872354969,2113,19005.012635043207,19146.95890935693,16957.452518590384,18842.73054881745,19099.023611937355
2022-10-15,18918.573815152955,2114,19007.782506760108,19125.233795091095,16960.791801939693,18827.19139450781,19093.059029030544
2022-10-16,18812.336431369364,2115,19010.5512234024,19095.469457781663,16964.131085289006,18807.568413978468,19087.149743509653
2022-10-17,18883.357809141165,2116,19013.318785451767,19075.292353755278,16967.470368638315,18791.11308219444,19081.289399151836
2022-10-18,19179.591165225396,2117,19016.085193389696,19085.2137700582,16970.809651987627,18784.036059842,19075.469519261154
2022-10-19,19181.31811252272,2118,19018.85044769746,19094.355688136355,16974.148935336936,18777.15762349553,19069.680099891757
2022-10-20,19195.755541503426,2119,19021.614548856138,19104.00134127592,16977.488218686245,18771.037144640737,19063.91194050556
2022-10-21,19278.33540457951,2120,19024.377497346613,19120.584855444824,16980.827502035558,18766.553144888243,19058.15670196889
2022-10-22,19178.857423206275,2121,19027.13929364956,19126.12802890627,16984.16678538487,18760.242258949926,19052.407062459817
2022-10-23,19062.558583550475,2122,19029.899938245464,19120.080990376966,16987.50606873418,18755.138201201444,19046.657399066164
2022-10-24,18967.51912891683,2123,19032.659431614597,19105.56855520959,16990.84535208349,18748.747663661987,19040.903064572954
2022-10-25,19103.91040493226,2124,19035.417774237034,19105.410823793838,16994.1846354328,18748.550837230177,19035.139534459566
2022-10-26,19133.168489573574,2125,19038.174966592658,19108.051269585274,16997.52391878211,18753.710028710397,19029.361717971304
2022-10-27,19207.557708064032,2126,19040.931009161144,19117.516811781326,17000.86320213142,18766.530711972344,19023.565054992916
2022-10-28,19354.53041947014,2127,19043.685902421967,19140.062712719147,17004.20248548073,18779.404700386505,19017.74578638734
2022-10-29,19228.05385393896,2128,19046.439646854407,19148.432863161954,17007.541768830044,18787.13522362587,19011.90157271391
2022-10-30,19120.99858998818,2129,19049.19224293754,19145.823180066927,17010.881052179353,18791.692222743066,19006.032673178823
2022-10-31,19267.75693316765,2130,19051.94369115024,19157.42211881645,17014.220335528662,18799.348207344265,19000.141014829947
2022-11-01,19181.2187103528,2131,19054.693991971195,19159.685767729556,17017.559618877975,18805.610278759144,18994.229411797838
2022-11-02,19131.171585940883,2132,19057.44314587887,19156.973358411797,17020.898902227284,18811.023952189324,18988.30274315069
2022-11-03,19114.120879193604,2133,19060.191153351552,19152.89701966984,17024.238185576593,18817.81584788697,18982.367330775367
2022-11-04,19141.242932606692,2134,19062.93801486732,19151.788425547296,17027.577468925905,18822.53359872154,18976.430598941777
2022-11-05,19028.172947784096,2135,19065.68373090405,19140.02951287048,17030.916752275218,18821.575438460302,18970.50098853671
2022-11-06,18907.90170662453,2136,19068.428301939424,19117.948373413685,17034.256035624527,18816.363934352015,18964.588212147053
2022-11-07,18979.69507038596,2137,19071.171728450925,19104.79703875073,17037.595318973836,18812.97972122562,18958.702427359396
2022-11-08,18936.27150422387,2138,19073.914010915836,19088.766060428487,17040.93460232315,18807.469373177955,18952.853354364444
2022-11-09,18861.14697973846,2139,19076.655149811235,19067.113813138396,17044.273885672457,18800.019935947243,18947.05087533317
2022-11-10,18788.54322738709,2140,19079.39514561401,19040.614807904967,17047.61316902177,18789.296492300626,18941.304744490168
2022-11-11,18883.22900352495,2141,19082.133998800848,19025.64349554374,17050.95245237108,18781.00422995538,18935.62405322133
2022-11-12,18770.379755986687,2142,19084.87170984823,19001.361552235965,17054.29173572039,18767.79603976915,18930.01671419715
2022-11-13,18673.211332059906,2143,19087.60827923245,18970.146288146458,17057.6310190697,18750.870545882717,18924.49023580532
2022-11-14,18652.57763212344,2144,19090.34370742959,18939.937594521354,17060.97030241901,18733.55619820239,18919.050894666885
2022-11-15,18683.772178941133,2145,19093.077994915548,18915.56987935223,17064.309585768322,18717.977647391213,18913.703028522465
2022-11-16,18753.51125468051,2146,19095.811142166014,18900.15406532536,17067.64886911763,18705.61452614168,18908.448918991824
2022-11-17,19110.24744582441,2147,19098.54314965648,18920.139181752274,17070.988152466944,18704.624163014094,18903.28907353694
2022-11-18,18991.183142759983,2148,19101.274017862244,18926.89723299975,17074.327435816253,18700.30370766159,18898.222804113113
2022-11-19,18909.635571475326,2149,19104.0037472584,18925.255218794122,17077.666719165565,18693.753006616542,18893.251019576677
2022-11-20,18811.33024421307,2150,19106.732338319853,18914.41811447638,17081.006002514874,18684.30238842329,18888.375346070516
2022-11-21,18817.432940684903,2151,19109.459791521298,18905.192407386974,17084.345285864183,18675.331394632314,18883.59753616152
2022-11-22,18795.192296835117,2152,19112.186107337242,18894.72865545376,17087.684569213496,18665.819270358887,18878.918747932767
2022-11-23,18773.51294618652,2153,19114.911286241986,18883.198020567874,17091.023852562805,18662.414007398507,18874.339628938043
2022-11-24,18807.543054042628,2154,19117.635328709646,18876.001347780326,17094.363135912117,18665.749410051423,18869.860180693715
2022-11-25,19140.323075444347,2155,19120.358235214124,18901.144931500003,17097.702419261426,18673.011714713128,18865.47962673247
2022-11-26,19027.19841873072,2156,19123.08000622914,18913.135759637185,17101.04170261074,18676.1601273492,18861.196709744985
2022-11-27,18921.13290611986,2157,19125.800642228198,18913.896487572354,17104.380985960048,18679.448241374703,18857.01229312754
2022-11-28,18847.16428955606,2158,19128.520143684622,18907.548592443,17107.720269309357,18686.756616956012,18852.92852115381
2022-11-29,18990.70769564874,2159,19131.238511071533,18915.459095646747,17111.05955265867,18694.14938058519,18848.948032855296
2022-11-30,19143.72747593861,2160,19133.95574486185,18937.1731075108,17114.39883600798,18702.564800418953,18845.073422786387
2022-12-01,19060.922826184476,2161,19136.6718455283,18948.944789843754,17117.73811935729,18710.167030159137,18841.30837932604
2022-12-02,19024.692377142714,2162,19139.386813543413,18956.15027317517,17121.0774027066,18713.667574538034,18837.65889528262
2022-12-03,18891.606106753818,2163,19142.100649379518,18950.01051438056,17124.416686055913,18711.64324998274,18834.132658020415
2022-12-04,18763.36087595032,2164,19144.813353508747,18932.255482088687,17127.75596940522,18706.774579043053,18830.738798063307
2022-12-05,18802.408114639657,2165,19147.524926403043,18919.903761391764,17131.09525275453,18703.32661879919,18827.486889403142
2022-12-06,18813.79189350101,2166,19150.235368534144,18909.8098782383,17134.434536103843,18700.616310384008,18824.385986140394
2022-12-07,18796.373399051532,2167,19152.944680373592,18899.019242006823,17137.773819453152,18696.774580374433,18821.44494886647
2022-12-08,18745.890200667593,2168,19155.652862392733,18884.452853897703,17141.113102802465,18690.57677113538,18818.672556428235
2022-12-09,18701.054534945684,2169,19158.35991506272,18867.007103117503,17144.452386151774,18681.576166559305,18816.077394219257
