Date,Balance,KMeans_Cluster,KMeans_Core_Label,KMeans_Core_Probability
2017-06-04,10241.640336269797,0,1,1
2017-06-05,10303.380636162225,0,1,1
2017-06-06,10324.187510327358,0,1,1
2017-06-07,10328.300249988122,0,1,1
2017-06-08,10381.205004453106,0,1,1
2017-06-09,10345.015036287625,0,1,1
2017-06-10,10234.39361094487,0,1,1
2017-06-11,10140.709382041676,0,1,1
2017-06-12,10008.65955578106,0,1,1
2017-06-13,10200.34292882751,0,1,1
2017-06-14,10202.55162408058,0,1,1
2017-06-15,10619.00759855991,0,1,1
2017-06-16,10871.44045457269,0,1,1
2017-06-17,10752.889896614388,0,1,1
2017-06-18,10693.197840188745,0,1,1
2017-06-19,10731.518911550624,0,1,1
2017-06-20,10852.548860637567,0,1,1
2017-06-21,10945.24223729104,0,1,1
2017-06-22,11103.036634559156,0,1,1
2017-06-23,11256.922209467752,0,1,1
2017-06-24,11161.988376277672,0,1,1
2017-06-25,11095.71857116928,0,1,1
2017-06-26,11022.792790944755,0,1,1
2017-06-27,10919.65961738265,0,1,1
2017-06-28,10936.26668080931,0,1,1
2017-06-29,10915.172588216396,0,1,1
2017-06-30,10986.4639430428,0,1,1
2017-07-01,10774.037754308178,0,1,1
2017-07-02,10650.849560596738,0,1,1
2017-07-03,10682.792830213348,0,1,1
2017-07-04,10641.160243228933,0,1,1
2017-07-05,10655.408230530646,0,1,1
2017-07-06,10585.36655942476,0,1,1
2017-07-07,10566.021648066577,0,1,1
2017-07-08,10469.524647919716,0,1,1
2017-07-09,10376.48883969449,0,1,1
2017-07-10,10362.838552854626,0,1,1
2017-07-11,10355.749282566358,0,1,1
2017-07-12,10304.699220356237,0,1,1
2017-07-13,10551.760348566337,0,1,1
2017-07-14,10531.657604178738,0,1,1
2017-07-15,10448.070106865,0,1,1
2017-07-16,10375.577481699516,0,1,1
2017-07-17,10390.29035126096,0,1,1
2017-07-18,10370.063516041124,0,1,1
2017-07-19,10493.005326505949,0,1,1
2017-07-20,11078.82406823643,0,1,1
2017-07-21,11074.357340359944,0,1,1
2017-07-22,11014.988784298068,0,1,1
2017-07-23,10938.31818052675,0,1,1
2017-07-24,11010.808115106423,0,1,1
2017-07-25,11509.128922962958,0,1,1
2017-07-26,11544.61182533416,0,1,1
2017-07-27,11593.060518945533,0,1,1
2017-07-28,11720.328538296617,0,1,1
2017-07-29,11606.844559440264,0,1,1
2017-07-30,11514.859908791532,0,1,1
2017-07-31,11599.0728074146,0,1,1
2017-08-01,11502.656548351528,0,1,1
2017-08-02,11478.393985151506,0,1,1
2017-08-03,11455.887254595453,0,1,1
2017-08-04,11760.05587120238,0,1,1
2017-08-05,11660.294933508616,0,1,1
2017-08-06,11564.924352347964,0,1,1
2017-08-07,11621.188938923324,0,1,1
2017-08-08,11586.818745934155,0,1,1
2017-08-09,11537.518952392162,0,1,1
2017-08-10,11736.75291071588,0,1,1
2017-08-11,11731.133996247016,0,1,1
2017-08-12,11631.471411700511,0,1,1
2017-08-13,11550.950209658038,0,1,1
2017-08-14,11548.068053906276,0,1,1
2017-08-15,11549.33417552104,0,1,1
2017-08-16,11600.54602463181,0,1,1
2017-08-17,11605.297230653783,0,1,1
2017-08-18,11722.186533405564,0,1,1
2017-08-19,11639.57391606614,0,1,1
2017-08-20,11553.199324716106,0,1,1
2017-08-21,11542.274597460102,0,1,1
2017-08-22,11568.217611022272,0,1,1
2017-08-23,11569.126101041526,0,1,1
2017-08-24,12009.572093668288,0,1,1
2017-08-25,12212.2665141097,0,1,1
2017-08-26,12121.824162347031,0,1,1
2017-08-27,12027.951566671709,0,1,1
2017-08-28,12120.603026113056,0,1,1
2017-08-29,12158.250408945913,0,1,1
2017-08-30,12315.99881556438,0,1,1
2017-08-31,12228.429102121703,0,1,1
2017-09-01,11964.422796861449,0,1,1
2017-09-02,11923.394950248645,0,1,1
2017-09-03,11833.523274058014,0,1,1
2017-09-04,11713.94987269572,0,1,1
2017-09-05,11843.76161189299,0,1,1
2017-09-06,11848.10114764154,0,1,1
2017-09-07,11989.676049525677,0,1,1
2017-09-08,11960.467268533996,0,1,1
2017-09-09,11862.216578551548,0,1,1
2017-09-10,11772.68301696991,0,1,1
2017-09-11,11775.29063666325,0,1,1
2017-09-12,11729.98277455364,0,1,1
2017-09-13,11711.829390571798,0,1,1
2017-09-14,11906.298791195664,0,1,1
2017-09-15,11957.422149931344,0,1,1
2017-09-16,11875.87021712272,0,1,1
2017-09-17,11763.89287784434,0,1,1
2017-09-18,11760.35001259201,0,1,1
2017-09-19,11904.63576613296,0,1,1
2017-09-20,11918.552460678837,0,1,1
2017-09-21,11984.653907670883,0,1,1
2017-09-22,11922.81078230384,0,1,1
2017-09-23,11837.717944888209,0,1,1
2017-09-24,11759.858077658504,0,1,1
2017-09-25,12317.5274155146,0,1,1
2017-09-26,12369.153674646775,0,1,1
2017-09-27,12420.995472850247,0,1,1
2017-09-28,12530.142992497522,0,1,1
2017-09-29,12638.654937156016,0,1,1
2017-09-30,12555.35413761761,0,1,1
2017-10-01,12322.980655287272,0,1,1
2017-10-02,12325.057549243107,0,1,1
2017-10-03,12286.98128884056,0,1,1
2017-10-04,12271.713317330134,0,1,1
2017-10-05,12292.093404906182,0,1,1
2017-10-06,12297.83086321053,0,1,1
2017-10-07,12197.258288726402,0,1,1
2017-10-08,12094.599828909551,0,1,1
2017-10-09,12209.366374220906,0,1,1
2017-10-10,12192.418767166446,0,1,1
2017-10-11,12539.94954957626,0,1,1
2017-10-12,12506.614312254918,0,1,1
2017-10-13,12544.320005134256,0,1,1
2017-10-14,12438.438276485364,0,1,1
2017-10-15,12350.89693112083,0,1,1
2017-10-16,12356.83144444404,0,1,1
2017-10-17,12337.41732638324,0,1,1
2017-10-18,12252.837566902446,0,1,1
2017-10-19,12249.405180596985,0,1,1
2017-10-20,12253.573052483904,0,1,1
2017-10-21,12157.026774334145,0,1,1
2017-10-22,12087.824242638222,0,1,1
2017-10-23,12100.885655826578,0,1,1
2017-10-24,12120.823776499778,0,1,1
2017-10-25,12270.582971900178,0,1,1
2017-10-26,12175.602292635009,0,1,1
2017-10-27,12301.583039770963,0,1,1
2017-10-28,12216.284675840265,0,1,1
2017-10-29,12108.182161165476,0,1,1
2017-10-30,12179.917889175807,0,1,1
2017-10-31,12252.506822701753,0,1,1
2017-11-01,12157.804590028274,0,1,1
