Day,Path_0,Path_100,Path_200,Path_300,Path_400,Path_500,Path_600,Path_700,Path_800,Path_900,Pct_5,Pct_25,Pct_50,Pct_75,Pct_95
290,82.90509782100267,90.20065120572245,84.21976971669434,97.34822354734033,84.1898659364234,88.19779973205131,92.29186129476305,83.99656207942917,84.20208800407087,79.40900707225016,70.48463780523366,76.84761984474449,81.73206763364809,86.6534395631993,94.11911989783438
291,81.45632327525797,87.23980200296334,81.74233610136977,94.82966088517968,82.69056296523814,86.84912509672321,89.83325658353567,82.2794818658922,83.36213758912203,77.96490597640005,69.15834918351538,75.36559348338761,80.2527834303372,85.08269849525905,92.02663533541676
292,80.15296216448853,85.42144654448548,79.90318157287241,94.09084370596152,80.76267048651268,84.76977368325066,87.90337800826423,81.10181973550262,81.9590946411965,76.11804726342459,67.78535873174577,73.92081457998567,78.73568764069412,83.4764020709878,90.66118219134452
293,78.91042975641406,83.71490836059068,78.21512395999596,92.29236201944504,79.63457359915247,82.79685251994228,86.15424146539553,79.96603592815899,80.65331342879686,74.08164766899807,66.44566237816741,72.55011434776019,77.33793907190686,81.8700779945281,88.85608583269871
294,77.09949543662987,81.81239598819118,76.75337942101217,90.65645407677347,78.7140628024022,81.46404284176353,84.08218976832445,79.02745074298552,79.18968949148582,73.4890956732724,65.45639075618635,71.14519384046363,75.83116128478176,80.33475788738349,87.13922644570549
295,75.52667282367027,79.8894794017216,75.28780395755898,88.52203294693734,77.29327067993188,79.76190190900513,82.71081037012364,78.63415226566637,77.84097686920053,71.91128537801818,64.05417767565524,69.80164755194717,74.37817303471931,79.01343624303439,85.80669676258587
296,74.39633087882913,78.46010229990854,73.70773292214729,86.94804164684442,75.68450959394293,77.78263864119288,81.8347510471423,77.12825807477671,76.54946136416203,70.67725742351188,62.68131582685699,68.43833389517444,72.9067869252003,77.5635102026951,84.28978498635493
297,72.66974102271082,76.80323717042181,72.28415879226509,85.16238992740912,74.08690044987445,75.70158814697017,80.46455795362169,75.21219517450463,74.24378985115641,69.13682331588048,61.52202936710483,67.23095594700266,71.66157821892264,76.07879778702262,82.81409575563221
298,71.20598290497293,75.46638408285152,70.67684456112629,84.08892236043943,72.91889653583262,74.00294127138561,78.74882614476935,73.83399284937947,72.80506980891796,68.12528094891157,60.48724534417474,65.92749012041217,70.28294616847802,74.6413462282355,81.45743729691452
299,69.58539916572391,74.38244482981973,69.70961220133714,82.54442065410628,71.8338016632972,72.25870541901857,77.65985398877933,73.12513465960245,72.11382238407394,66.7207316011067,59.54074481363014,64.67050440981954,68.91171528101567,73.34308496683266,79.73816980244433
300,68.06768662039565,72.96592754236875,68.12521328201193,81.24545130263944,70.36279000006928,70.22585026879015,76.82977298602479,71.99840059749204,70.82188644183833,65.10577349303274,58.34441757959831,63.49553855750986,67.64215928419489,72.16760990166871,78.16948406635488
301,67.09691662682735,72.21335216364484,67.06564494162245,79.23502693525577,68.5989948168736,68.6316492437338,75.2963800378406,70.92321584978669,69.01132189954596,63.921800053479444,57.2401886401335,62.26659018149566,66.33864658395531,70.76316799363002,76.71416604110682
302,66.04664509245366,71.78348014843202,66.40504693342035,77.31182136420227,66.4085331473707,67.89459965744308,73.89613546975268,69.50248015195818,67.48622895449219,62.355399277196355,56.22994432839801,61.17841802348613,65.21210821065613,69.42377331113873,75.18178972798138
303,64.56589568448253,70.13509295951701,64.49659474045052,76.30640813458861,64.92853214038999,66.80154539781766,72.44451374646893,68.28073900801189,65.71436788625314,61.22829992231673,55.16426401541556,60.022520464884714,64.03907951258992,68.04291412660834,73.90605772657672
304,63.164097809430935,68.68572565380951,63.326991483347044,74.90426599311863,63.923353373875386,65.08693935639344,71.36582087487677,66.79438591197561,64.63033586102569,60.18947724624882,54.01992637939875,58.86189186571809,62.77593291433233,66.86646110086875,72.60180985202882
305,61.99909684026217,67.55332945616053,62.72287026839042,72.87578062239763,62.972099500735816,64.12523272259524,69.85804459922447,64.98666388407321,63.101916037531616,59.156557056921194,53.0994594275148,57.73869937613847,61.61234004742445,65.62836015391483,71.29383758095246
306,60.81122967148459,66.16736104588148,61.46062071223666,72.0310109721035,61.781867294885046,62.93429774374572,68.80960489859632,63.80237783187139,61.851699156249715,57.862976334371496,52.10542220398928,56.71684356528975,60.40066999989978,64.41142368271178,70.10273591878631
307,59.2809373408691,65.29644588153295,60.28777071446273,71.29982635025182,60.443035539391694,62.210334635713764,67.53547090833102,62.35356599713098,61.12676366389472,56.47830333685635,51.2248625511005,55.69094307566667,59.28570626364255,63.2780000666182,68.85250270690433
308,58.36264037100983,64.1859678857171,59.65216311213351,70.0207009064255,58.98975459571024,61.554909426492934,66.47221094047202,61.222242005579545,59.720865868141686,54.98278196953639,50.27375285443179,54.66084249378229,58.2152558528123,62.06683876056004,67.54289174341244
309,57.11463367616103,62.6683307902538,58.41808519232827,68.79997728230231,57.48050525602154,60.71242471401726,65.29807042799314,59.977662053425206,58.00812716298325,54.32251289304356,49.3336014204572,53.67615469678375,57.08988009492583,60.846149468518895,66.41976881631858
310,56.114797232890446,61.67211009018163,58.09585538497286,67.46024530012755,56.29879264359664,60.017508827615785,64.51489506466979,58.61689215791707,56.714486984262145,52.99187744835282,48.44834017335365,52.68180684300387,56.09671808798576,59.672551040287836,65.09660236228925
