Days,Years,S(t),Cumulative_Decay
1349,3.695890410958904,1.0686955045247224e-11,0.999999999989313
1350,3.6986301369863015,1.0488688397827033e-11,0.9999999999895113
1351,3.7013698630136984,1.0294100035129928e-11,0.9999999999897059
1352,3.7041095890410958,1.0103121716840758e-11,0.9999999999898969
1353,3.706849315068493,9.91568646865311e-12,0.9999999999900843
1354,3.7095890410958905,9.731728558782055e-12,0.9999999999902682
1355,3.712328767123288,9.551183474912619e-12,0.9999999999904489
1356,3.7150684931506848,9.373987901575925e-12,0.999999999990626
1357,3.717808219178082,9.200079697945046e-12,0.9999999999907999
1358,3.7205479452054795,9.029397876042807e-12,0.9999999999909706
1359,3.723287671232877,8.861882579353863e-12,0.9999999999911381
1360,3.7260273972602738,8.697475061833585e-12,0.9999999999913025
1361,3.728767123287671,8.536117667306381e-12,0.9999999999914638
1362,3.7315068493150685,8.377753809246196e-12,0.9999999999916223
1363,3.734246575342466,8.222327950932168e-12,0.9999999999917777
1364,3.736986301369863,8.069785585972408e-12,0.9999999999919302
1365,3.73972602739726,7.920073219189124e-12,0.9999999999920799
1366,3.7424657534246575,7.773138347858358e-12,0.9999999999922269
1367,3.745205479452055,7.628929443297785e-12,0.9999999999923711
1368,3.747945205479452,7.48739593279607e-12,0.9999999999925127
1369,3.750684931506849,7.34848818187751e-12,0.9999999999926515
1370,3.7534246575342465,7.212157476895673e-12,0.9999999999927879
1371,3.756164383561644,7.078356007949989e-12,0.9999999999929217
1372,3.758904109589041,6.947036852119261e-12,0.999999999993053
1373,3.7616438356164386,6.818153957006236e-12,0.9999999999931819
1374,3.7643835616438355,6.691662124587466e-12,0.9999999999933084
1375,3.767123287671233,6.56751699536278e-12,0.9999999999934325
1376,3.76986301369863,6.4456750327988224e-12,0.9999999999935544
1377,3.7726027397260276,6.326093508061203e-12,0.999999999993674
1378,3.7753424657534245,6.208730485029893e-12,0.9999999999937913
1379,3.778082191780822,6.093544805592618e-12,0.9999999999939064
1380,3.780821917808219,5.980496075211099e-12,0.9999999999940195
1381,3.7835616438356166,5.869544648755062e-12,0.9999999999941305
1382,3.786301369863014,5.760651616599066e-12,0.9999999999942394
1383,3.789041095890411,5.653778790977258e-12,0.9999999999943462
1384,3.791780821917808,5.548888692591286e-12,0.9999999999944511
1385,3.7945205479452055,5.445944537466656e-12,0.999999999994554
1386,3.797260273972603,5.344910224052938e-12,0.999999999994655
1387,3.8,5.245750320563294e-12,0.9999999999947542
1388,3.802739726027397,5.148430052548878e-12,0.9999999999948516
1389,3.8054794520547945,5.052915290703764e-12,0.999999999994947
1390,3.808219178082192,4.95917253889612e-12,0.9999999999950409
1391,3.8109589041095893,4.8671689224214275e-12,0.9999999999951328
1392,3.813698630136986,4.776872176473628e-12,0.9999999999952232
1393,3.8164383561643835,4.688250634830162e-12,0.9999999999953118
1394,3.819178082191781,4.601273218746921e-12,0.9999999999953987
1395,3.8219178082191783,4.51590942605922e-12,0.9999999999954841
1396,3.824657534246575,4.432129320484978e-12,0.9999999999955679
1397,3.8273972602739725,4.349903521126339e-12,0.9999999999956501
1398,3.83013698630137,4.269203192166075e-12,0.9999999999957307
1399,3.8328767123287673,4.190000032755127e-12,0.99999999999581
1400,3.835616438356164,4.112266267087768e-12,0.9999999999958877
1401,3.8383561643835615,4.035974634660884e-12,0.999999999995964
1402,3.841095890410959,3.961098380713974e-12,0.999999999996039
1403,3.8438356164383563,3.8876112468465045e-12,0.9999999999961124
1404,3.8465753424657536,3.8154874618093366e-12,0.9999999999961845
1405,3.8493150684931505,3.744701732466988e-12,0.9999999999962553
1406,3.852054794520548,3.67522923492757e-12,0.9999999999963247
1407,3.8547945205479452,3.607045605837278e-12,0.999999999996393
1408,3.8575342465753426,3.540126933836394e-12,0.9999999999964598
1409,3.8602739726027395,3.474449751173797e-12,0.9999999999965256
1410,3.863013698630137,3.4099910254770416e-12,0.9999999999965901
1411,3.8657534246575342,3.346728151675121e-12,0.9999999999966532
1412,3.8684931506849316,3.284638944071081e-12,0.9999999999967154
1413,3.871232876712329,3.223701628561703e-12,0.9999999999967762
1414,3.873972602739726,3.163894835001531e-12,0.9999999999968361
1415,3.8767123287671232,3.1051975897085613e-12,0.9999999999968948
1416,3.8794520547945206,3.0475893081089702e-12,0.9999999999969524
1417,3.882191780821918,2.991049787518294e-12,0.999999999997009
1418,3.884931506849315,2.9355592000565395e-12,0.9999999999970645
1419,3.8876712328767122,2.8810980856947316e-12,0.9999999999971189
1420,3.8904109589041096,2.827647345430463e-12,0.9999999999971724
1421,3.893150684931507,2.775188234590053e-12,0.9999999999972248
1422,3.8958904109589043,2.7237023562549677e-12,0.9999999999972763
1423,3.8986301369863012,2.67317165481019e-12,0.9999999999973268
1424,3.9013698630136986,2.6235784096122878e-12,0.9999999999973764
1425,3.904109589041096,2.5749052287749494e-12,0.9999999999974251
1426,3.9068493150684933,2.5271350430698106e-12,0.9999999999974729
1427,3.9095890410958902,2.480251099940438e-12,0.9999999999975198
1428,3.9123287671232876,2.4342369576273636e-12,0.9999999999975657
1429,3.915068493150685,2.3890764794021144e-12,0.9999999999976109
1430,3.9178082191780823,2.3447538279082126e-12,0.9999999999976552
1431,3.9205479452054797,2.301253459607162e-12,0.9999999999976987
1432,3.9232876712328766,2.2585601193274778e-12,0.9999999999977415
1433,3.926027397260274,2.2166588349148373e-12,0.9999999999977833
1434,3.9287671232876713,2.1755349119814883e-12,0.9999999999978245
1435,3.9315068493150687,2.1351739287530638e-12,0.9999999999978648
1436,3.9342465753424656,2.0955617310110013e-12,0.9999999999979045
1437,3.936986301369863,2.0566844271287903e-12,0.9999999999979433
1438,3.9397260273972603,2.0185283832003105e-12,0.9999999999979815
1439,3.9424657534246577,1.9810802182585475e-12,0.9999999999980189
1440,3.9452054794520546,1.944326799583013e-12,0.9999999999980557
1441,3.947945205479452,1.9082552380942245e-12,0.9999999999980917
1442,3.9506849315068493,1.8728528838336234e-12,0.9999999999981272
1443,3.9534246575342467,1.838107321527355e-12,0.9999999999981619
1444,3.956164383561644,1.8040063662323468e-12,0.999999999998196
1445,3.958904109589041,1.7705380590631653e-12,0.9999999999982294
1446,3.9616438356164383,1.7376906629981445e-12,0.9999999999982623
1447,3.9643835616438357,1.7054526587633246e-12,0.9999999999982946
1448,3.967123287671233,1.6738127407927484e-12,0.9999999999983262
1449,3.96986301369863,1.6427598132637075e-12,0.9999999999983572
1450,3.9726027397260273,1.6122829862055397e-12,0.9999999999983877
1451,3.9753424657534246,1.5823715716806185e-12,0.9999999999984176
1452,3.978082191780822,1.5530150800361946e-12,0.999999999998447
1453,3.9808219178082194,1.5242032162257715e-12,0.9999999999984758
1454,3.9835616438356163,1.4959258761987304e-12,0.9999999999985041
1455,3.9863013698630136,1.4681731433569341e-12,0.9999999999985318
1456,3.989041095890411,1.440935285077068e-12,0.999999999998559
1457,3.9917808219178084,1.4142027492975019e-12,0.9999999999985858
1458,3.9945205479452053,1.3879661611684696e-12,0.999999999998612
1459,3.9972602739726026,1.3622163197643994e-12,0.9999999999986378
1460,4.0,1.3369441948572331e-12,0.9999999999986631
1461,4.002739726027397,1.3121409237496115e-12,0.9999999999986878
1462,4.005479452054795,1.2877978081668089e-12,0.9999999999987123
1463,4.008219178082192,1.2639063112063296e-12,0.9999999999987361
1464,4.010958904109589,1.240458054344096e-12,0.9999999999987595
1465,4.013698630136986,1.2174448144961793e-12,0.9999999999987825
