Date,Balance,trend,residual,quantile_10,fitted_growth
2017-03-29,11033.118319275036,10996.379436256886,36.73888301814986,10195.403736236523,11619.482767381898
2017-03-30,11113.388003861884,11000.404054507122,112.98394935476244,10198.743019585834,11622.324479856072
2017-03-31,11225.416675891818,11004.428672757356,220.9880031344619,10202.082302935145,11625.166887312107
2017-04-01,11007.8416349353,11008.453291007592,-0.6116560722930444,10205.421586284456,11628.009989919974
2017-04-02,10883.002136415846,11012.477909257826,-129.47577284198087,10208.760869633767,11630.85378784968
2017-04-03,10910.143917569863,11016.502527508062,-106.35860993819915,10212.100152983077,11633.69828127128
2017-04-04,10868.10765538453,11020.527145758299,-152.41949037376799,10215.439436332388,11636.543470354864
2017-04-05,10868.430399288382,11024.551764008533,-156.12136472015118,10218.778719681697,11639.389355270565
2017-04-06,10871.7599118535,11028.576382258769,-156.81647040526877,10222.118003031008,11642.235936188563
2017-04-07,10870.695808316212,11032.601000509003,-161.90519219279122,10225.457286380319,11645.08321327907
2017-04-08,10809.255627277533,11036.625618759239,-227.36999148170617,10228.79656972963,11647.931186712349
2017-04-09,10708.751777016832,11040.650237009475,-331.89845999264253,10232.13585307894,11650.779856658699
2017-04-10,10705.194332071129,11044.67485525971,-339.48052318858026,10235.475136428251,11653.629223288463
2017-04-11,10675.26397974173,11048.699473509945,-373.43549376821466,10238.814419777562,11656.479286772024
2017-04-12,10635.72801932221,11052.72409176018,-416.9960724379689,10242.15370312687,11659.330047279811
2017-04-13,10622.08518380847,11056.748710010415,-434.6635262019445,10245.492986476182,11662.181504982287
2017-04-14,10621.52728393141,11060.773328260651,-439.24604432924207,10248.832269825492,11665.033660049963
2017-04-15,10533.361982082932,11064.797946510886,-531.4359644279539,10252.171553174803,11667.88651265339
2017-04-16,10449.237471586415,11068.822564761122,-619.5850931747063,10255.510836524114,11670.740062963161
2017-04-17,10453.862161913066,11072.847183011356,-618.9850210982895,10258.850119873425,11673.59431114991
2017-04-18,10424.407853456418,11076.871801261592,-652.463947805174,10262.189403222736,11676.449257384307
2017-04-19,10543.33149219913,11080.896419511828,-537.5649273126983,10265.528686572045,11679.304901837078
2017-04-20,10547.295774018134,11084.921037762062,-537.6252637439284,10268.867969921355,11682.16124467898
