Day,S(t)_1.0x (Base),S(t)_1.5x Stress,S(t)_2.0x Stress
583,1.8137528633295598e-05,7.147427992788701e-08,2.6709697176817247e-10
584,1.7801037370874642e-05,6.948527101963256e-08,2.571864928891372e-10
585,1.747078876543165e-05,6.75516128814888e-08,2.476437366052388e-10
586,1.7146667001875717e-05,6.567176519468735e-08,2.384550587819583e-10
587,1.682855841374198e-05,6.384423050493857e-08,2.296073215425078e-10
588,1.651635144332983e-05,6.206755302958528e-08,2.2108787448343023e-10
589,1.620993660258069e-05,6.034031749795128e-08,2.1288453658718259e-10
590,1.5909206434681574e-05,5.866114802396124e-08,2.0498557880584284e-10
591,1.5614055476380983e-05,5.7028707010133436e-08,1.9737970729103819e-10
592,1.5324380221003944e-05,5.54416940820727e-08,1.9005604724611703e-10
593,1.5040079082153174e-05,5.389884505261455e-08,1.8300412737747694e-10
594,1.4761052358083702e-05,5.239893091479546e-08,1.762138649228171e-10
595,1.4487202196738379e-05,5.0940756862847106e-08,1.696755512349086e-10
596,1.4218432561432094e-05,4.952316134043465e-08,1.633798379002709e-10
597,1.3954649197172607e-05,4.8145015115380975e-08,1.5731772337290663e-10
598,1.3695759597606196e-05,4.680522038013978e-08,1.514805401039839e-10
599,1.3441672972576563e-05,4.550270987730102e-08,1.4585994214906436e-10
600,1.319230021628556e-05,4.423644604943198e-08,1.4044789323515802e-10
601,1.2947553876044628e-05,4.300542021257695e-08,1.3523665527054292e-10
602,1.2707348121605966e-05,4.1808651752756935e-08,1.3021877728092132e-10
603,1.2471598715062655e-05,4.064518734482946e-08,1.253870847560937e-10
604,1.224022298130722e-05,3.951410019308616e-08,1.2073466939191792e-10
605,1.201313977903824e-05,3.8414489292983306e-08,1.1625487921288719e-10
606,1.1790269472304865e-05,3.734547871341708e-08,1.1194130906120416e-10
607,1.157153390257922e-05,3.6306216898971966e-08,1.0778779143875232e-10
608,1.135685636134695e-05,3.529587599158637e-08,1.0378838768887085e-10
609,1.1146161563206266e-05,3.4313651171095126e-08,9.99373795053245e-11
610,1.0939375619466049e-05,3.3358760014123637e-08,9.622926075632837e-11
611,1.0736426012233792e-05,3.2430441870822885e-08,9.265872961193743e-11
612,1.0537241568984244e-05,3.152795725894885e-08,8.922068096354473e-11
613,1.0341752437599874e-05,3.0650587274803725e-08,8.591019912464985e-11
614,1.0149890061874397e-05,2.9797633020569552e-08,8.272255080246093e-11
615,9.96158715747074e-06,2.8968415047578325e-08,7.96531783302815e-11
616,9.776777688325073e-06,2.8162272815074842e-08,7.669769315100568e-11
617,9.595396843488564e-06,2.737856416404133e-08,7.385186954240442e-11
618,9.417381014398795e-06,2.661666480566462e-08,7.111163857523147e-11
619,9.242667772572837e-06,2.5875967824038453e-08,6.847308229551029e-11
620,9.071195847714163e-06,2.51558831927047e-08,6.59324281226839e-11
621,8.902905106225727e-06,2.4455837304648457e-08,6.348604345561808e-11
622,8.737736530121677e-06,2.377527251537258e-08,6.113043047874571e-11
623,8.575632196330303e-06,2.3113646698687684e-08,5.88622211609262e-11
624,8.416535256380956e-06,2.247043281486374e-08,5.667817243986925e-11
625,8.260389916467824e-06,2.1845118490799327e-08,5.457516158523785e-11
626,8.107141417883563e-06,2.1237205611874035e-08,5.255018173380066e-11
627,7.956736017815937e-06,2.0646209925158937e-08,5.0600337590249963e-11
628,7.809120970500712e-06,2.0071660653669037e-08,4.8722841287538294e-11
629,7.664244508724216e-06,1.9513100121350453e-08,4.691500840081489e-11
630,7.52205582566906e-06,1.8970083388503537e-08,4.5174254109262705e-11
631,7.382505057096661e-06,1.8442177897351582e-08,4.34980895003483e-11
632,7.245543263860326e-06,1.792896312747275e-08,4.1884118011200336e-11
633,7.111122414742746e-06,1.7430030260820742e-08,4.033003200202873e-11
634,6.979195369611903e-06,1.6944981856067375e-08,3.883360945668503e-11
635,6.849715862889465e-06,1.6473431532007686e-08,3.7392710805646704e-11
636,6.722638487325883e-06,1.60150036597753e-08,3.600527586688266e-11
637,6.597918678076492e-06,1.556933306362296e-08,3.466932090022624e-11
638,6.4755126970730395e-06,1.51360647300298e-08,3.3382935771043994e-11
639,6.355377617685153e-06,1.4714853524903701e-08,3.214428121914485e-11
640,6.237471309666374e-06,1.4305363918653419e-08,3.095158622902492e-11
641,6.121752424379478e-06,1.390726971891148e-08,2.980314549768772e-11
642,6.00818038029589e-06,1.352025381069497e-08,2.8697316996419608e-11
643,5.8967153487641245e-06,1.3144007903797192e-08,2.7632519623034013e-11
644,5.787318240042255e-06,1.2778232287209003e-08,2.6607230941227855e-11
645,5.6799506895895e-06,1.2422635590374191e-08,2.5619985003817815e-11
646,5.574575044612146e-06,1.2076934551088693e-08,2.4669370256744172e-11
647,5.47115435085906e-06,1.1740853789858819e-08,2.375402752084537e-11
648,5.369652339662182e-06,1.1414125590538678e-08,2.2872648048517663e-11
649,5.270033415217443e-06,1.1096489687072113e-08,2.202397165248129e-11
650,5.17226264210165e-06,1.0787693056169243e-08,2.12067849039777e-11
651,5.076305733020961e-06,1.0487489715752469e-08,2.0419919397821637e-11
652,4.982129036786652e-06,1.0195640529011382e-08,1.9662250081827433e-11
653,4.88969952651396e-06,9.911913013910506e-09,1.893269364822102e-11
654,4.798984788039864e-06,9.636081157998108e-09,1.8230206984737634e-11
655,4.709953008555744e-06,9.367925238368577e-09,1.7553785683190657e-11
656,4.622572965450923e-06,9.107231646634932e-09,1.690246260337915e-11
657,4.5368140153631925e-06,8.853792718772071e-09,1.627530649028078e-11
658,4.452646083432476e-06,8.607406569695176e-09,1.567142064255297e-11
659,4.370039652753851e-06,8.36787693244154e-09,1.5089941630438594e-11
660,4.2889657540262496e-06,8.13501300182768e-09,1.453003806124299e-11
661,4.2093959553931975e-06,7.90862928245721e-09,1.3990909390617282e-11
662,4.131302352472028e-06,7.688545440958418e-09,1.3471784777948306e-11
663,4.054657558568076e-06,7.47458616233379e-09,1.2971921984218666e-11
664,3.979434695070419e-06,7.266581010307113e-09,1.2490606310761033e-11
665,3.9056073820258026e-06,7.064364291556872e-09,1.2027149577389364e-11
666,3.8331497288874396e-06,6.8677749237278025e-09,1.1580889138445973e-11
