Date,Actual_Balance,Predicted_Pure_Decay,Predicted_Monthly_Reanchored,Error_Pure,Pct_Error_Pure
2023-04-04,18706.6895764015,3235.356368803356,17793.961990087555,15471.333207598143,82.7048160734716
2023-04-05,18708.628144637813,3174.806424398813,17460.94661668841,15533.821720239,83.03025534606736
2023-04-06,18695.152359482578,3115.389676881866,17134.163651731065,15579.76268260071,83.3358422708886
2023-04-07,18725.876725021582,3057.084918385214,16813.49645521003,15668.791806636367,83.67454318280154
2023-04-08,18584.56230502308,2999.8713379484298,16498.830570046503,15584.69096707465,83.85826209564475
2023-04-09,18458.07721640538,2943.7285140898193,16190.053681234782,15514.348702315561,84.05181385050518
2023-04-10,18436.128176931103,2888.636407517296,15887.055575753155,15547.491769413806,84.33165369759247
2023-04-11,18392.20963539145,2834.575353975672,15589.72810322513,15557.634281415778,84.58817395968995
2023-04-12,18543.833449282665,2781.5260572278157,15297.965137316878,15762.307392054849,85.00026402396634
2023-04-13,18565.51994450582,2729.469582167164,15011.66253785709,15836.050362338658,85.29817861107139
2023-04-14,19072.78539121936,2678.387348059136,14730.718113665822,16394.398043160225,85.9570204712092
2023-04-15,18918.58825925109,2628.261121909033,14455.03158607895,16290.327137342058,86.10751983238588
2023-04-16,18776.107953504703,2579.073011954062,14184.504553155304,16197.03494155064,86.26407017716012
2023-04-17,18828.20858953129,2530.8054612771534,13919.040454553637,16297.403128254135,86.55843730834641
2023-04-18,18878.390040434497,2483.441241540295,13658.544537066957,16394.948798894202,86.84505809965172
2023-04-19,19001.43252543221,2436.9634468351537,13402.92382080185,16564.469078597056,87.174843562066
2023-04-20,19217.10446806056,2391.355487648775,13152.087065990807,16825.748980411783,87.55610923787563
2023-04-21,19131.232433470475,2346.601084942223,12905.9447404256,16784.63134852825,87.73418757467607
2023-04-22,19065.580680766,2302.6842643400328,12664.40898750021,16762.896416425967,87.92229671418788
2023-04-23,18966.05314087871,2259.5893504284086,12427.393594851777,16706.463790450303,88.08613825109362
2023-04-24,18869.021695624237,2217.300961160137,12194.813963588478,16651.7207344641,88.24898822563581
2023-04-25,18862.42251293284,2175.8040023642056,11966.587078093286,16686.618510568635,88.46487506643228
2023-04-26,18864.311774254307,2135.0836623581795,11742.631476392855,16729.22811189613,88.68188944336626
2023-04-27,18925.99235157076,2095.1254066614038,11522.867221080971,16830.866944909358,88.92990461085377
2023-04-28,19269.855731630956,2055.9149728071525,11307.215870786153,17213.940758823803,89.33092701139208
2023-04-29,19132.979048072677,2017.4383652518668,11095.600452173243,17115.54068282081,89.45570180062948
2023-04-30,19052.809939943712,1979.6818503796662,10887.945432468998,17073.128089564045,89.60950192323435
2023-05-01,18774.018007854665,1942.6319516003525,18774.018007854665,16831.386056254312,89.6525509308258
2023-05-02,18783.537805890872,1906.2754445391547,18422.660810364257,16877.262361351717,89.85135034603913
2023-05-03,18783.021528763435,1870.599352316497,18077.879289970602,16912.422176446937,90.04100937939111
2023-05-04,18647.301580233943,1835.5909409161072,17739.550382368805,16811.710639317836,90.15626506056068
2023-05-05,18777.02142783612,1801.2377146398123,17407.553326411933,16975.783713196306,90.40722341633185
2023-05-06,18659.21922691393,1767.5274116473954,17081.76962100726,16891.691815266535,90.52732383840623
